3099.62,3099.85,Bed011-c1,s^aa,,,yeah .
3099.65,3102.4,Bed011-c2,s,,,{and} that's definitely gonna be uh - a major one .
3102.82,3105.26,Bed011-c1,s,,,that's about six times in this little one here | so uh .
3105.24,3105.38,Bed011-c3,b,,,right .
3105.69,3105.87,Bed011-c2,b.%,,,yep .
3106.17,3106.4,Bed011-c1,b,,,yeah .
3106.48,3110.14,Bed011-c2,sj,,"whereAs"?,where is x_ might be another one which is not too complicated .
3108.19,3108.46,Bed011-c1,b,,,yeah .
3110.29,3110.59,Bed011-c1,b,,,mm-hmm .
3111.18,3113.09,Bed011-c2,fh|s^co,,,and um - | tell me something about x_ .
3113.92,3114.1,Bed011-c1,s^aa,,,yeah .
3114.27,3119.02,Bed011-c2,s,,,and hey that's - that's already covering eighty percent of the system's functionality .
3117.49,3117.74,Bed011-c3,%-,,,ye- ==
3119.11,3121.72,Bed011-c3,fg|s^arp,,,right | but it's not covering eighty percent of the intellectual interest .
3122.34,3122.52,Bed011-c1,s^aa,,,yeah .
3123.07,3126.21,Bed011-c2,s^ar|s^cs.%-,,,no | we can w- - throw in an out of film construction if you want to but ==
3125.67,3126.12,Bed011-c3,s^ar,,,no no no .
3126.12,3130.4,Bed011-c3,s,,,well the - th- - the thing is there's a lot that needs to be done to get this right .
3131.54,3132.48,Bed011-c3,s^tc,,,o_k i th- - .
3131.64,3131.99,Bed011-c2,b^rt,,,o_k .
3133.66,3133.92,Bed011-c3,qy^rt,,,we done ?
3134.6,3136.23,Bed011-c2,s^t,,,i have one bit of news .
3135.68,3135.8,Bed011-c3,b,,,good .
3136.23,3148.54,Bed011-c2,fh|s,,,um - | the action planner guy has wrote - has written a - a p- - lengthy - proposal on how he wants to do the action planning .
3136.62,3136.72,Bed011-c3,b,,,good .
3149.3,3153.84,Bed011-c2,s,,,and i responded to him also rather lengthy how he should do the action planning .
3154.77,3155,Bed011-c2,%-,,,and ==
3155.08,3156.58,Bed011-c3,qy^bu^d,,,action planning meaning discourse modeling ?
3156.75,3157.25,Bed011-c2,s^aa,,,yes .
3157.36,3163.89,Bed011-c2,s,,,and i tacked on a little paragraph about the fact that the whole world calls that module a dis- - disc- - dialogue manager .
3158.95,3159.31,Bed011-c3,b,,,right .
3163.89,3166.21,Bed011-c2,qy,,,and wouldn't it make sense to do this here too ?
3163.94,3164.2,Bed011-c3,s^bk,,,right .
3167.03,3171.92,Bed011-c2,s,,,and also rainer m- - {malacca} is going to be visiting us shortly .
3171.92,3173.4,Bed011-c2,s^e,,,most likely in the beginning of june .
3174.33,3174.55,Bed011-c3,s^bk,,,uh-huh .
3174.79,3175.19,Bed011-c3,s,,,i'll be gone .
3175.43,3175.57,Bed011-c2,b,,,yeah .
3175.57,3177.08,Bed011-c2,s,,,he- - he's just in a conference somewhere .
3177.08,3178.24,Bed011-c2,s,,,and he is just swinging through town .
3177.51,3177.87,Bed011-c3,s^bk,,,sure o_k .
3179.09,3187.01,Bed011-c2,s,,,and um - m- - making me incapable of going to n_a_a_c_l for which i had funding .
3188.03,3188.28,Bed011-c2,fh,,,but ==
3190.8,3192.14,Bed011-c2,s,,,no no pittsburg this year .
3193.43,3193.85,Bed011-c1,s^bk,,,hmm .
3194.1,3194.59,Bed011-c3,%-,,,s- ==
3194.19,3195.64,Bed011-c2,qw,,,when is the uh- - santa barbara ?
3195.64,3197.74,Bed011-c2,qw.%--,,,who is going to uh- - should a lot of people ?==
3203.76,3205.88,Bed011-c2,sj,,,that's something i will - would - sort of enjoy .
3205.05,3205.6,Bed011-c3,sj,,,probably should go .
3206.23,3207.49,Bed011-c3,sj^co,,,that was - {tha-} - that's one you should probably go to .
3207.58,3207.71,Bed011-c2,s^aa,,,yep .
3209.26,3210.06,Bed011-c1,qw,,,how much does it cost ?
3210.67,3211.45,Bed011-c1,s,,,i haven't planned to go .
3212.92,3217.06,Bed011-c3,fh|s^am,,,uh - | probably we can uh - pay for it .
3217.62,3217.95,Bed011-c1,s^bk,,,o_k .
