2664.14,2666.04,Bmr005-c4,fg|s.%-,,,{right} | {so} {there's} {this} - {this} ==
2668.03,2670.03,Bmr005-c4,s,,,{there's} {this} {forty} minute piece that jane transcribed .
2670.99,2673.68,Bmr005-c4,s,,,that piece was then uh - sent to i_b_m .
2673.68,2674.95,Bmr005-c4,s,,,so they could transcribe .
2674.95,2676.58,Bmr005-c4,s,,,so we have some comparison point .
2677.14,2680.16,Bmr005-c4,s,,,then there's a larger piece that's been recorded .
2680.21,2682.64,Bmr005-c4,s,,,and uh - put on c_d-rom .
2682.64,2684.48,Bmr005-c4,s,,,and sent uh - to i_b_m .
2685.39,2685.65,Bmr005-c4,qy^d^f^g^rt,,,right ?
2685.86,2688.28,Bmr005-c4,s^no.%-,,,and then we don't know ==
2687.87,2688.98,Bmr005-c2,qw^rt,1a,,how many meetings is that ?
2689.21,2689.65,Bmr005-c8,qw^br^rt,1b-1.1.5a,,what's that ?
2689.77,2690.82,Bmr005-c4,s,1b-2,,that was about ten hours .
2689.95,2690.32,Bmr005-c2,qw^r.%--,1.5b,,how many ?==
2690.82,2691.44,Bmr005-c4,s.%--,1b-2+.2a,,and {it} was about ==
2691.64,2692.51,Bmr005-c2,qy^bu^d^rt,2b.3a,,{like} - like ten meetings ?
2692.6,2693.4,Bmr005-c8,s^aa|s,3b,,yeah something like that .
2693.55,2694.51,Bmr005-c8,s.%-,,,and then - then we ==
2694.26,2695.82,Bmr005-c0,s^bu^rt,4a,,{and} meetings that have been sent to i_b_m .
2695.93,2696.84,Bmr005-c8,s,4b,,well i haven't sent them yet .
2695.94,2696.23,Bmr005-c4,b,,,yeah .
2696.84,2699.84,Bmr005-c8,s^df,4b+,,because i was having this problem with the missing files .
2697.44,2697.98,Bmr005-c4,fg,,,oh .
2700.09,2702.28,Bmr005-c4,fg|s^bk|s,,,oh | that's right | that - those have not been sent .
2702.76,2704.48,Bmr005-c0,qw^rt,5a,,h- - how many total have we recorded now ?
2704.82,2705.34,Bmr005-c0,qw^d^e^g,5a+,,altogether ?
2705.61,2707.68,Bmr005-c4,s,5b-1,,saying about twelve hours .
2706.26,2707.35,Bmr005-c8,s,5b-2,,{oh} twelve by now .
2707.04,2707.66,Bmr005-c2,b,,,uh-huh .
2707.35,2708.32,Bmr005-c8,s^e,5b-2+,,twelve or thirteen .
2708.3,2708.39,Bmr005-c2,%-,,,and ==
2708.39,2711,Bmr005-c2,s,,,we're recording only this meeting like continuously .
2711,2712.8,Bmr005-c2,qy^bu^rt,6a,,we're only recording this one now ?
2711.77,2714.06,Bmr005-c4,s^ar|s.%-,6b.7a,,no no | so that's the ==
2712.8,2712.99,Bmr005-c2,qrr.%--,,,or ?==
2713.05,2713.35,Bmr005-c2,s^bk,7b-1,,o_k .
2713.54,2714.24,Bmr005-c0,s^2,7b-2,,it was the morning one .
2714.48,2716.65,Bmr005-c4,s,,,that's the biggest one - chunk so far .
2717.19,2722.73,Bmr005-c4,s^rt,8a,,but there's at least one meeting recorded of uh - the uh - uh - natural language guys .
2721.16,2721.44,Bmr005-c8,s^2,8b,,jerry .
2723.14,2724.21,Bmr005-c2,qy^rt,9a,,do they meet every week ?
2723.21,2724.02,Bmr005-c4,s.%-,,,and then there ==
2724.31,2725.75,Bmr005-c4,h|s^na^rt,9b,,uh - | they do .
2724.76,2725.5,Bmr005-c2,qrr.%-,9a+,,or - every ?==
2726.19,2727.92,Bmr005-c4,s^rt,,,and we talked to them about recording some more .
2727.92,2728.7,Bmr005-c4,s.%-,,,and we're going to ==
2729.43,2736.5,Bmr005-c4,s,,,uh - we've started having a morning meeting today uh - starting a week or two ago on the front-end issues .
2736.85,2738.11,Bmr005-c4,s,,,and we're recording those .
2738.75,2744.29,Bmr005-c4,fh|s,10a,,uh - | there's a network services and applications group here who's agreed to have their meetings recorded .
2743.94,2744.33,Bmr005-c2,sj^ba,10b,,great .
2744.68,2745.9,Bmr005-c4,s,10a+,,and we're gonna start recording them .
2745.9,2747.15,Bmr005-c4,s,,,they're - they meet on tuesdays .
2747.15,2748.75,Bmr005-c4,s,,,we're gonna start recording them next week .
2749.01,2752.01,Bmr005-c4,s,,,so actually we're gonna start having a - a pretty significant chunk .
2752.01,2752.23,Bmr005-c4,fh,,,and ==
