1463.95,1465.6,Bmr027-c0,s,,,there're bound to be some glitches the first time through .
1464.52,1464.98,Bmr027-c1,fh,,,so ==
1465.9,1469.04,Bmr027-c1,fh|s^fa,1a,,and uh - | and i'm sorry responding without uh having much knowledge .
1469.04,1472.13,Bmr027-c1,s^df,1a+,,but the thing is uh i am like one of these people who gets a gazillion mails .
1472.13,1474.07,Bmr027-c1,s^df.%-,,,and - and stuff comes in as ==
1472.77,1474.78,Bmr027-c5,s,1b,,well and that's exactly why i did it the way i did it .
1474.78,1477.46,Bmr027-c5,s^e,1b+,,which is the default is if you do nothing we're gonna release it .
1477.46,1484.26,Bmr027-c5,s^df,1b++,,because you know i have my stack of emails of to d- - to be done that you know fifty or sixty long .
1477.78,1478.09,Bmr027-c1,b,,,yeah .
1484.26,1486.03,Bmr027-c5,s^df,1b+++.2a,,and the ones at the top i'm never gonna get to .
1486.42,1486.78,Bmr027-c1,s^bk,2b-1,,right .
1486.71,1487.31,Bmr027-c5,fh,,,and uh ==
1487.58,1488.3,Bmr027-c2,s^cs^j,2b-2.3a,,move them to the bottom .
1487.89,1488.68,Bmr027-c5,fh,,,so - so ==
1489.39,1489.96,Bmr027-c5,s^bk,3b,,yeah right .
1489.72,1494.03,Bmr027-c1,fg|s:s^bk,,,so - so | the only thing we're missing is - is some way to respond to easily to say uh o_k .
1490.98,1492.27,Bmr027-c5,s.%-,,,so i- - this is gonna mean ==
1493.89,1495.12,Bmr027-c2,s^cs,4a,,just re-mail them to yourself .
1494.03,1495.05,Bmr027-c1,s:s^co,,,go ahead or something .
1495.05,1495.35,Bmr027-c1,b,,,yeah .
1495.12,1495.89,Bmr027-c2,s^df,4a+,,and then they're at the bottom .
1495.13,1495.34,Bmr027-c5,b,,,yeah .
1496.41,1496.56,Bmr027-c5,s^bk,4b,,yeah .
1496.46,1496.71,Bmr027-c0,b,,,yeah .
1496.56,1497.86,Bmr027-c5,s^ba,4b+,,that's actually definitely a good point .
1497.86,1504.01,Bmr027-c5,s^df.%--,4b++.5a,,the m- - email doesn't specify that you can just reply to the email as op- - as opposed to going to the form and ==
1503.13,1503.4,Bmr027-cB,%,,,in ==
1503.42,1503.73,Bmr027-c0,b,,,mm-hmm .
1503.81,1504.23,Bmr027-c4,s^bk,5b-1,,right .
1504.2,1511.77,Bmr027-c0,s,5b-2.6a,,and it also doesn't give a - a specific - i didn't think of it - s- - i think it's a good idea - an ex- - explicit time by which this will be considered definite .
1511.03,1511.69,Bmr027-c5,s^bk|s^2,6b,,yeah | release .
1512.36,1514.3,Bmr027-c0,s,5b-2+,,and - and it has to be a time earlier than that endpoint .
1514.93,1515.12,Bmr027-c1,b,,,yeah .
